,0
0,Arkansas
1,Connecticut
2,Idaho
3,Illinois
4,Kentucky
5,Louisiana
6,Maine
7,Maryland
8,Massachusetts
9,Michigan
10,Minnesota
11,Mississippi
12,Missouri
13,Montana
14,Nebraska
15,Nevada
16,New Hampshire
17,New Mexico
18,New York
19,North Carolina
20,North Dakota
21,Oklahoma
22,Oregon
23,Pennsylvania
24,Rhode Island
25,South Carolina
26,South Dakota
27,Tennessee
28,Utah
29,Vermont
30,Virginia
31,Washington
32,West Virginia
33,Wisconsin
34,Wyoming
